Pool,Day,Month,Year,Transect_Direction,Species,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,41,
San Miguel,23,4,2003,SN,Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Erodium cicutarium,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Erodium botrys,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Eryngium armatum,,,1,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Eryngium vaseyi,,,1,,,,,,,8,,,,,,,,,,,
San Miguel,23,4,2003,SN,Euthamia occidentalis,,,,,,,,,,1,,,,,,,,,,,
San Miguel,23,4,2003,SN,Frankenia salina,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Geranium dissectum,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Grindelia camporum,,,1,,,,,,,1,1,,,,,,,,,,
San Miguel,23,4,2003,SN,Centromadia parryi ssp.australis,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Hordeum br. ssp. br.,,,1,,,,,,,1,,,,,,,,,,,
San Miguel,23,4,2003,SN,Hordeum marinum,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Hordeum murinum,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Isocoma menziesii,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Juncus bufonius,,,1,,,,,,,,1,,,,,,,,,,
San Miguel,23,4,2003,SN,Juncus occidentalis,,,2,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Lactuca serriola,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Lolium multiflorum,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Lupinus succulentus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Lythrum hyssopifolium,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Malva parviflora,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Medicago polymorpha,3,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Melilotus sp.?,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Nassella pulchra,,,,,,,,,,1,1,,,,,,,,,,
San Miguel,23,4,2003,SN,Oxalis pes-caprae,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Paraphalis incurva,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Phalaris lemmonii,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Plagiobothrys undulates,,,2,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Plantago elongata,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Plantago lanceolata,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Poa annua,1,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Polygonum arenastrum,10,1,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Polypogon monspeliensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Psilocarphus brevissimus,,,2,,,,,,,3,,,,,,,,,,,
San Miguel,23,4,2003,SN,Rhaphanus sativus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Rumex acetosella,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Rumex crispus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Sisyrinchium bellum,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Solanum sp.?,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Sonchus,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Spergularia sp.?,,1,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Stachys ajugoides,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Veronica?Virginica?,,,1,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Vicia sp.,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Vulpia sp.,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,Bare,74,94,86,100,100,100,100,100,100,85,95,100,,,,,,,,,
San Miguel,23,4,2003,SN,Thatch,,,,,,,,,,,,,,,,,,,,,
San Miguel,23,4,2003,SN,unk.,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Anagalis arvensis,,,1,,,,,,,,,,,,2,,,,,,
San Miguel,24,4,2003,EW,Aster subulatus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Avena barbata,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Avena fatua,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Baccharis pilularis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Bromus diandrus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Centunculus minimus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Chamomilla suaveolens,,,1,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Chenepode?,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Conyza canadensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Coronopus didymus,,,1,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Crassula aquatica,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Cynodon dactylon,,,,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Cyperus strigosus? (nut sedge),,1,1,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Distichlis spicata,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Echinochloa crusgalli,,,1,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Erodium cicutarium,,,,,,,,,,,,,,,,,5,,,,
San Miguel,24,4,2003,EW,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Erodium botrys,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Eryngium armatum,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Eryngium vaseyi,,,7,6,,,,,,,,,,1,1,,,,,,
San Miguel,24,4,2003,EW,Euthamia occidentalis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Frankenia salina,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Geranium dissectum,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Grindelia camporum,,,1,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Centromadia parryi ssp.australis,,,11,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Hordeum br. ssp. br.,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Hordeum marinum,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Hordeum murinum,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Juncus bufonius,,,1,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Juncus occidentalis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Lactuca serriola,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Lolium multiflorum,,15,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Lupinus succulentus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Lythrum hyssopifolium,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Malva parviflora,,,,,,,,,,,,,,,,1,,,,,
San Miguel,24,4,2003,EW,Medicago polymorpha,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Melilotus sp.? (yellow),,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Nassella pulchra,,,,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Oxalis pes-caprae,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Paraphalis incurva,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Phalaris lemmonii,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Plagiobothrys undulates,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Plantago elongata,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Plantago lanceolata,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Poa annua,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Polygonum arenastrum,,,3,,,,,,,,,,,,,,1,,,,
San Miguel,24,4,2003,EW,Polypogon monspeliensis,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Psilocarphus brevissimus,,,2,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Raphanus sativus,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Rumex acetosella,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Rumex crispus,,1,,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Sisyrinchium bellum,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Solanum sp.?,,,,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Sonchus,,,1,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Spergularia sp.?,,1,,,,,,,,,,,,,2,,,,,,
San Miguel,24,4,2003,EW,Stachys ajugoides,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Veronica?Virginica?,,,,,,,,,,,,,,,1,,,,,,
San Miguel,24,4,2003,EW,Vicia sp.,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Vulpia sp.,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,Bare,100,82,66,94,100,100,100,100,100,100,100,100,100,99,84,99,94,,,,
San Miguel,24,4,2003,EW,Thatch,,,,,,,,,,,,,,,,,,,,,
San Miguel,24,4,2003,EW,unk. Grass,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Anagalis arvensis,,,,,,,,,,,1,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Artemesis douglasiana,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Aster subulatus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Avena barbata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Avena fatua,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Baccharis pilularis,,,,,,,,,,,,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Bromus diandrus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Centunculus minimus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Chamomilla suaveolens,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Chenepode?,,,,,,,,,,,,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Conyza canadensis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Coronopus didymus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Crassula aquatica,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Cynodon dactylon,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Cyperus strigosus? (nut sedge),,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Distichlis spicata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Echinochloa crusgalli,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Eleocharis macrostachya,,,,,1,,,9,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Erodium cicutarium,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Erodium botrys,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Eryngium armatum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Eryngium vaseyi,,,1,,,,,,,,1,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Euthamia occidentalis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Frankenia salina,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Geranium dissectum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Grindelia camporum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Hemizonia parryi ssp. australis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Hordeum br. ssp. br.,,,,,,,,,,,,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Hordeum marinum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Hordeum murinum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Isocoma menziesii,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Juncus bufonius,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Juncus occidentalis,,,,1,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lactuca serriola,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lolium multiflorum,,,,,,,,,,,1,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lotus salsuginosis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lupinus succulentus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Lythrum hyssopifolium,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Malva parviflora,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Medicago polymorpha,,,,,,,,,,,,3,,,,,,,,,
Santa Rosa,23,4,2003,SN,Melilotus sp.?,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Nassella pulchra,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Oxalis pes-caprae,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Paraphalis incurva,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Phalaris lemmonii,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Plagiobothrys undulates,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Plantago elongata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Plantago lanceolata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Poa annua,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Polygonum arenastrum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Polypogon monspeliensis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Psilocarphus brevissimus,,,,,,,,,,,1,7,,,,,,,,,
Santa Rosa,23,4,2003,SN,Rhaphanus sativus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Rumex acetosella,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Rumex crispus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Sisyrinchium bellum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Solanum sp.?,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Sonchus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Spergularia sp.?,,,,,,,,,,,,1,,,,,,,,,
Santa Rosa,23,4,2003,SN,Stachys ajugoides,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Veronica?Virginica?,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Vicia sp.,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Vulpia sp.,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,Bare,100,100,99,99,99,100,100,89,100,100,96,84,100,100,,,,,,,
Santa Rosa,23,4,2003,SN,Thatch,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,SN,unk.,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Alopecurus saccatus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Ambrosia psylostachya,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Anagalis arvensis,16,,,,,,,,,,,,,1,3,1,,,,,
Santa Rosa,23,4,2003,EW,Aster subulatus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Atriplex lentiformes,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Avena barbata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Avena fatua,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Baccharis pilularis,,,,,,,,,,,,,,,1,,,,,,
Santa Rosa,23,4,2003,EW,Brodiea jolonensis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Bromus diandrus,3,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Bromus hordeaceous,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Calystegia macrostegia,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Castilleja exserta ,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Centunculus minimus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Chamomilla suaveolens,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Chenepode?,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Conyza canadensis,,,,,,,,,,,,,,,,1,,,,,
Santa Rosa,23,4,2003,EW,Coronopus didymus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Cotula coronopofolia,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Crassula aquatica,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Cynodon dactylon,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Cyperus strigosus? (nut sedge),,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Distichlis spicata,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Echinochloa crusgalli,,,,,,,,,,,,,,,1,,,,,,
Santa Rosa,23,4,2003,EW,Elatine brachysperma,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Eleocharis acicularis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Eleocharis macrostachya,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Erodium cicutarium,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Eremocarpus setigerus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Erodium botrys,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Eryngium armatum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Eryngium vaseyi,11,,,,,,,,,,,,,1,2,1,,,,,
Santa Rosa,23,4,2003,EW,Euthamia occidentalis,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Frankenia salina,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Geranium dissectum,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Grindelia camporum,,,,,,,,,,,,,,1,,,,,,,
Santa Rosa,23,4,2003,EW,Centromadia parryi ssp. australis,,,,,,,,,,,,,,,1,,,,,,
Santa Rosa,23,4,2003,EW,Hordeum br. ssp. br.,,,,,,,,,,,,,,1,,,,,,,
Santa Rosa,23,4,2003,EW,Hordeum marinum,2,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Hordeum murinum,1,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Juncus bufonius,,,1,,,,,,,,,,,,5,1,,,,,
Santa Rosa,23,4,2003,EW,Juncus occidentalis,,,,,,,,,,,,,,5,,,,,,,
Santa Rosa,23,4,2003,EW,Juncus phaeocephalus,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Lactuca serriola,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Lolium multiflorum,5,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Lupinus bicolor,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Lupinus succulentus,,,,,,,,,,,,,,,15,,,,,,
Santa Rosa,23,4,2003,EW,Lythrum hyssopifolium,,,2,,,,,,,,,,,,,,,,,,
Santa Rosa,23,4,2003,EW,Malva parviflora,,,,,,,,,,,,,,,,,,,,,
